order_item_id,order_id,sku_id,sku_name,category,qty,unit_price,amount
I0039,O0024,SKU01,蓝牙耳机,数码,2,129.00,258.00
I0040,O0025,SKU04,牛仔裤,服饰,1,189.00,189.00
I0041,O0025,SKU10,口红,美妆,1,99.00,99.00
I0042,O0026,SKU09,面霜,美妆,2,159.00,318.00
I0043,O0027,SKU05,坚果礼盒,食品,1,68.00,68.00
I0044,O0028,SKU10,口红,美妆,1,99.00,99.00
I0045,O0029,SKU09,面霜,美妆,1,159.00,159.00
I0046,O0030,SKU02,机械键盘,数码,1,299.00,299.00
I0047,O0030,SKU05,坚果礼盒,食品,2,68.00,136.00
I0048,O0031,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0049,O0032,SKU05,坚果礼盒,食品,1,68.00,68.00
I0050,O0033,SKU04,牛仔裤,服饰,2,189.00,378.00
I0051,O0034,SKU06,咖啡豆,食品,1,45.00,45.00
I0052,O0034,SKU02,机械键盘,数码,1,299.00,299.00
I0053,O0035,SKU10,口红,美妆,2,99.00,198.00
I0054,O0035,SKU02,机械键盘,数码,1,299.00,299.00
I0055,O0035,SKU08,四件套,家居,2,199.00,398.00
I0056,O0036,SKU02,机械键盘,数码,1,299.00,299.00
I0057,O0036,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0058,O0037,SKU02,机械键盘,数码,2,299.00,598.00
I0059,O0037,SKU08,四件套,家居,1,199.00,199.00
I0060,O0037,SKU03,纯棉T恤,服饰,2,79.00,158.00
I0061,O0038,SKU03,纯棉T恤,服饰,2,79.00,158.00
I0062,O0039,SKU04,牛仔裤,服饰,1,189.00,189.00
I0063,O0040,SKU09,面霜,美妆,1,159.00,159.00
I0064,O0041,SKU02,机械键盘,数码,2,299.00,598.00
I0065,O0041,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0066,O0042,SKU10,口红,美妆,1,99.00,99.00
I0067,O0043,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0068,O0043,SKU09,面霜,美妆,2,159.00,318.00
I0069,O0044,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0070,O0045,SKU10,口红,美妆,1,99.00,99.00
I0071,O0046,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0072,O0047,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0073,O0048,SKU06,咖啡豆,食品,1,45.00,45.00
I0074,O0048,SKU04,牛仔裤,服饰,1,189.00,189.00
I0075,O0048,SKU02,机械键盘,数码,1,299.00,299.00
I0076,O0049,SKU02,机械键盘,数码,1,299.00,299.00
I0077,O0050,SKU02,机械键盘,数码,1,299.00,299.00
I0078,O0050,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0079,O0051,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0080,O0051,SKU04,牛仔裤,服饰,1,189.00,189.00
I0081,O0051,SKU02,机械键盘,数码,1,299.00,299.00
I0082,O0052,SKU09,面霜,美妆,2,159.00,318.00
I0083,O0053,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0084,O0054,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0085,O0054,SKU03,纯棉T恤,服饰,2,79.00,158.00
I0086,O0055,SKU02,机械键盘,数码,1,299.00,299.00
I0087,O0056,SKU01,蓝牙耳机,数码,2,129.00,258.00
I0088,O0057,SKU05,坚果礼盒,食品,1,68.00,68.00
I0089,O0058,SKU04,牛仔裤,服饰,2,189.00,378.00
I0090,O0059,SKU04,牛仔裤,服饰,2,189.00,378.00
I0091,O0060,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0092,O0061,SKU04,牛仔裤,服饰,1,189.00,189.00
I0093,O0062,SKU10,口红,美妆,1,99.00,99.00
I0094,O0063,SKU09,面霜,美妆,1,159.00,159.00
I0095,O0064,SKU08,四件套,家居,1,199.00,199.00
I0096,O0064,SKU02,机械键盘,数码,1,299.00,299.00
I0097,O0065,SKU08,四件套,家居,1,199.00,199.00
I0098,O0066,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0099,O0067,SKU10,口红,美妆,2,99.00,198.00
I0100,O0067,SKU04,牛仔裤,服饰,2,189.00,378.00
I0101,O0068,SKU10,口红,美妆,1,99.00,99.00
I0102,O0068,SKU02,机械键盘,数码,1,299.00,299.00
I0103,O0069,SKU01,蓝牙耳机,数码,2,129.00,258.00
I0104,O0070,SKU05,坚果礼盒,食品,2,68.00,136.00
I0105,O0071,SKU04,牛仔裤,服饰,1,189.00,189.00
I0106,O0071,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0107,O0072,SKU05,坚果礼盒,食品,1,68.00,68.00
I0108,O0073,SKU08,四件套,家居,2,199.00,398.00
I0109,O0074,SKU05,坚果礼盒,食品,1,68.00,68.00
I0110,O0075,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0111,O0075,SKU05,坚果礼盒,食品,1,68.00,68.00
I0112,O0076,SKU08,四件套,家居,2,199.00,398.00
I0113,O0076,SKU02,机械键盘,数码,1,299.00,299.00
I0114,O0077,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0115,O0078,SKU02,机械键盘,数码,1,299.00,299.00
I0116,O0079,SKU09,面霜,美妆,1,159.00,159.00
I0117,O0079,SKU08,四件套,家居,1,199.00,199.00
I0118,O0079,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0119,O0080,SKU09,面霜,美妆,1,159.00,159.00
I0120,O0081,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0121,O0081,SKU05,坚果礼盒,食品,2,68.00,136.00
I0122,O0082,SKU08,四件套,家居,1,199.00,199.00
I0123,O0082,SKU05,坚果礼盒,食品,2,68.00,136.00
I0124,O0083,SKU10,口红,美妆,1,99.00,99.00
I0125,O0084,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0126,O0085,SKU08,四件套,家居,2,199.00,398.00
I0127,O0085,SKU09,面霜,美妆,1,159.00,159.00
I0128,O0086,SKU04,牛仔裤,服饰,1,189.00,189.00
I0129,O0087,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0130,O0088,SKU10,口红,美妆,1,99.00,99.00
I0131,O0089,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0132,O0089,SKU03,纯棉T恤,服饰,2,79.00,158.00
I0133,O0090,SKU06,咖啡豆,食品,2,45.00,90.00
I0134,O0091,SKU05,坚果礼盒,食品,1,68.00,68.00
I0135,O0092,SKU02,机械键盘,数码,1,299.00,299.00
I0136,O0092,SKU08,四件套,家居,1,199.00,199.00
I0137,O0093,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0138,O0094,SKU02,机械键盘,数码,2,299.00,598.00
I0139,O0095,SKU08,四件套,家居,1,199.00,199.00
I0140,O0096,SKU09,面霜,美妆,2,159.00,318.00
I0141,O0096,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0142,O0096,SKU02,机械键盘,数码,1,299.00,299.00
I0143,O0097,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0144,O0098,SKU05,坚果礼盒,食品,1,68.00,68.00
I0145,O0099,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0146,O0099,SKU08,四件套,家居,1,199.00,199.00
I0147,O0100,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0148,O0101,SKU06,咖啡豆,食品,1,45.00,45.00
I0149,O0102,SKU09,面霜,美妆,1,159.00,159.00
I0150,O0103,SKU08,四件套,家居,1,199.00,199.00
I0151,O0103,SKU05,坚果礼盒,食品,2,68.00,136.00
I0152,O0103,SKU06,咖啡豆,食品,1,45.00,45.00
I0153,O0104,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0154,O0105,SKU05,坚果礼盒,食品,1,68.00,68.00
I0155,O0105,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0156,O0106,SKU06,咖啡豆,食品,2,45.00,90.00
I0157,O0106,SKU04,牛仔裤,服饰,1,189.00,189.00
I0158,O0106,SKU02,机械键盘,数码,2,299.00,598.00
I0159,O0107,SKU04,牛仔裤,服饰,1,189.00,189.00
I0160,O0108,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0161,O0108,SKU03,纯棉T恤,服饰,2,79.00,158.00
I0162,O0108,SKU10,口红,美妆,2,99.00,198.00
I0163,O0109,SKU06,咖啡豆,食品,1,45.00,45.00
I0164,O0109,SKU02,机械键盘,数码,1,299.00,299.00
I0165,O0109,SKU10,口红,美妆,2,99.00,198.00
I0166,O0110,SKU04,牛仔裤,服饰,1,189.00,189.00
I0167,O0111,SKU09,面霜,美妆,1,159.00,159.00
I0168,O0112,SKU10,口红,美妆,1,99.00,99.00
I0169,O0112,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0170,O0113,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0171,O0113,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0172,O0114,SKU02,机械键盘,数码,2,299.00,598.00
I0173,O0115,SKU09,面霜,美妆,1,159.00,159.00
I0174,O0115,SKU05,坚果礼盒,食品,1,68.00,68.00
I0175,O0115,SKU08,四件套,家居,2,199.00,398.00
I0176,O0116,SKU02,机械键盘,数码,1,299.00,299.00
I0177,O0117,SKU09,面霜,美妆,2,159.00,318.00
I0178,O0117,SKU06,咖啡豆,食品,1,45.00,45.00
I0179,O0118,SKU09,面霜,美妆,2,159.00,318.00
I0180,O0118,SKU04,牛仔裤,服饰,2,189.00,378.00
I0181,O0119,SKU02,机械键盘,数码,1,299.00,299.00
I0182,O0120,SKU02,机械键盘,数码,1,299.00,299.00
I0183,O0120,SKU10,口红,美妆,2,99.00,198.00
I0184,O0120,SKU09,面霜,美妆,1,159.00,159.00
I0185,O0121,SKU02,机械键盘,数码,1,299.00,299.00
I0186,O0121,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0187,O0122,SKU09,面霜,美妆,1,159.00,159.00
I0188,O0123,SKU09,面霜,美妆,1,159.00,159.00
